Kachelname,Aktualitaet,Erfassungsmethode,Fortfuehrung,Fortfuehrungsmethode,Aufloesung,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Hoehenanomalie,Unnamed: 9
3dm_32_280_5652_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5653_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5654_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5655_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5656_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5657_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5658_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5659_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5660_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_280_5661_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_281_5652_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_281_5653_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_281_5654_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
