Kachelname,Aktualitaet,Erfassungsmethode,Fortfuehrung,Fortfuehrungsmethode,Aufloesung,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Hoehenanomalie,Unnamed: 9
3dm_32_352_5693_1_nw,2020-03,5020,2020-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_372_5631_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_354_5616_1_nw,2021-12,5020,2021-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_379_5692_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_348_5715_1_nw,2020-03,5020,2020-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_490_5749_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_483_5745_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_357_5689_1_nw,2020-11,5020,2020-11,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_484_5752_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_361_5728_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_301_5651_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_367_5692_1_nw,2020-03,5020,2020-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_420_5731_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_471_5676_1_nw,2021-03,5020,2021-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_353_5776_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_393_5776_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_504_5809_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_507_5761_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_476_5767_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_390_5717_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_322_5716_1_nw,2020-03,5020,2020-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_470_5661_1_nw,2021-03,5020,2021-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_402_5724_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_491_5731_1_nw,2018-03,5020,2018-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_318_5692_1_nw,2020-03,5020,2020-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_479_5728_1_nw,2018-02,5020,2018-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_328_5621_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_339_5594_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_335_5746_1_nw,2020-01,5020,2020-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_445_5767_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_350_5742_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_322_5667_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_401_5744_1_nw,2018-12,5020,2018-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_421_5761_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_342_5749_1_nw,2020-01,5020,2020-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_322_5617_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_420_5751_1_nw,2019-01,5020,2019-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_319_5664_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_474_5708_1_nw,2018-02,5020,2018-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_312_5725_1_nw,2020-02,5020,2020-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_322_5614_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_336_5747_1_nw,2020-01,5020,2020-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
